busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd
2022-03-05,2022,3,5,1123064,25169,5,0,284,1
2022-03-05,2022,3,5,1123063,8791,5,0,41,1
2022-03-05,2022,3,5,1123060,10316,5,0,44,1
2022-03-05,2022,3,5,1123058,12300,5,0,82,1
2022-03-05,2022,3,5,1123052,12050,5,0,135,1
2022-03-05,2022,3,5,1123067,4506,5,0,30,1
2022-03-05,2022,3,5,1123059,6207,5,0,50,1
2022-03-05,2022,3,5,1123079,11283,5,0,84,1
2022-03-05,2022,3,5,1123078,12969,5,0,84,1
2022-03-05,2022,3,5,1123077,17062,5,0,118,1
2022-03-05,2022,3,5,1123075,8327,5,0,57,1
2022-03-05,2022,3,5,1123074,2190,5,0,2,1
2022-03-05,2022,3,5,1123073,2415,5,0,1,1
2022-03-05,2022,3,5,1123072,4692,5,0,17,1
2022-03-05,2022,3,5,1123053,7127,5,0,23,1
2022-03-06,2022,3,6,1123066,4740,6,0,25,1
2022-03-06,2022,3,6,1123064,15754,6,0,144,1
2022-03-06,2022,3,6,1123063,6010,6,0,36,1
2022-03-06,2022,3,6,1123060,7201,6,0,47,1
2022-03-06,2022,3,6,1123058,8793,6,0,44,1
2022-03-06,2022,3,6,1123052,7350,6,0,100,1
2022-03-06,2022,3,6,1123067,3214,6,0,19,1
2022-03-06,2022,3,6,1123059,3670,6,0,21,1
2022-03-06,2022,3,6,1123079,7967,6,0,57,1
2022-03-06,2022,3,6,1123078,7864,6,0,44,1
2022-03-06,2022,3,6,1123077,10627,6,0,87,1
2022-03-06,2022,3,6,1123075,6104,6,0,26,1
2022-03-06,2022,3,6,1123074,1557,6,0,3,1
2022-03-06,2022,3,6,1123073,1611,6,0,2,1
2022-03-06,2022,3,6,1123072,3502,6,0,15,1
2022-03-06,2022,3,6,1123053,4251,6,0,16,1
2022-03-06,2022,3,6,1123080,2730,6,0,7,1
2022-03-06,2022,3,6,1123071,2531,6,0,2,1
2022-03-06,2022,3,6,1123065,6091,6,0,25,1
2022-03-06,2022,3,6,1123051,6296,6,0,21,1
2022-03-06,2022,3,6,1123076,6595,6,0,15,1
2022-03-06,2022,3,6,1123068,1467,6,0,0,1
2022-03-07,2022,3,7,1123071,6399,0,0,3,0
2022-03-07,2022,3,7,1123065,16292,0,0,67,0
2022-03-07,2022,3,7,1123051,11566,0,0,29,0
2022-03-07,2022,3,7,1123076,16061,0,0,24,0
2022-03-07,2022,3,7,1123068,4316,0,0,0,0
2022-03-07,2022,3,7,1123066,12173,0,0,58,0
2022-03-07,2022,3,7,1123064,38081,0,0,376,0
2022-03-07,2022,3,7,1123063,11345,0,0,76,0
2022-03-07,2022,3,7,1123060,11759,0,0,74,0
2022-03-07,2022,3,7,1123058,20677,0,0,87,0
2022-03-07,2022,3,7,1123052,18223,0,0,177,0
2022-03-07,2022,3,7,1123067,7527,0,0,31,0
2022-03-07,2022,3,7,1123059,12323,0,0,54,0
2022-03-07,2022,3,7,1123079,16149,0,0,75,0
2022-03-07,2022,3,7,1123078,17974,0,0,101,0
2022-03-07,2022,3,7,1123077,19583,0,0,125,0
2022-03-07,2022,3,7,1123075,13486,0,0,28,0
2022-03-07,2022,3,7,1123074,3141,0,0,5,0
2022-03-07,2022,3,7,1123073,3515,0,0,5,0
2022-03-07,2022,3,7,1123072,7805,0,0,22,0
2022-03-07,2022,3,7,1123053,12571,0,0,46,0
2022-03-07,2022,3,7,1123080,5977,0,0,18,0
2022-03-08,2022,3,8,1123071,6362,1,0,2,0
2022-03-08,2022,3,8,1123065,16440,1,0,103,0
2022-03-08,2022,3,8,1123051,12234,1,0,118,0
2022-03-08,2022,3,8,1123076,16353,1,0,55,0
2022-03-08,2022,3,8,1123068,4121,1,0,4,0
2022-03-08,2022,3,8,1123066,12260,1,0,78,0
2022-03-08,2022,3,8,1123064,39777,1,0,548,0
2022-03-08,2022,3,8,1123063,11716,1,0,104,0
2022-03-08,2022,3,8,1123060,12135,1,0,156,0
2022-03-08,2022,3,8,1123058,21007,1,0,167,0
2022-03-08,2022,3,8,1123052,18868,1,0,248,0
2022-03-08,2022,3,8,1123067,7724,1,0,33,0
2022-03-08,2022,3,8,1123059,12140,1,0,97,0
2022-03-08,2022,3,8,1123079,16472,1,0,164,0
2022-03-08,2022,3,8,1123078,19169,1,0,115,0
2022-03-08,2022,3,8,1123077,21530,1,0,188,0
2022-03-08,2022,3,8,1123075,13416,1,0,64,0
2022-03-08,2022,3,8,1123074,3181,1,0,9,0
2022-03-08,2022,3,8,1123073,3541,1,0,3,0
2022-03-08,2022,3,8,1123072,7941,1,0,33,0
2022-03-08,2022,3,8,1123053,12981,1,0,78,0
2022-03-08,2022,3,8,1123080,6008,1,0,16,0
2022-03-09,2022,3,9,1123053,5542,2,0,34,1
2022-03-09,2022,3,9,1123080,3089,2,0,15,1
2022-03-09,2022,3,9,1123071,3129,2,0,2,1
2022-03-09,2022,3,9,1123065,7457,2,0,46,1
2022-03-09,2022,3,9,1123051,8209,2,0,38,1
2022-03-09,2022,3,9,1123076,8241,2,0,24,1
2022-03-09,2022,3,9,1123068,2070,2,0,1,1
2022-03-09,2022,3,9,1123066,5677,2,0,27,1
2022-03-09,2022,3,9,1123064,19525,2,0,233,1
2022-03-09,2022,3,9,1123063,6619,2,0,47,1
2022-03-09,2022,3,9,1123060,7962,2,0,53,1
2022-03-09,2022,3,9,1123058,10009,2,0,85,1
2022-03-09,2022,3,9,1123052,9552,2,0,130,1
2022-03-09,2022,3,9,1123067,3786,2,0,22,1
2022-03-09,2022,3,9,1123059,4862,2,0,36,1
2022-03-09,2022,3,9,1123079,8502,2,0,69,1
2022-03-09,2022,3,9,1123078,9803,2,0,78,1
2022-03-09,2022,3,9,1123077,13786,2,0,99,1
2022-03-09,2022,3,9,1123075,6983,2,0,48,1
2022-03-09,2022,3,9,1123074,1850,2,0,2,1
2022-03-09,2022,3,9,1123073,1868,2,0,1,1
2022-03-09,2022,3,9,1123072,4034,2,0,15,1
2022-03-10,2022,3,10,1123071,6175,3,0,7,0
2022-03-10,2022,3,10,1123065,16483,3,0,71,0
2022-03-10,2022,3,10,1123051,12006,3,0,52,0
2022-03-10,2022,3,10,1123076,15669,3,0,33,0
2022-03-10,2022,3,10,1123068,4072,3,0,2,0
2022-03-10,2022,3,10,1123066,12048,3,0,62,0
2022-03-10,2022,3,10,1123064,38455,3,0,440,0
2022-03-10,2022,3,10,1123063,11674,3,0,87,0
2022-03-10,2022,3,10,1123060,11804,3,0,98,0
2022-03-10,2022,3,10,1123058,21296,3,0,138,0
2022-03-10,2022,3,10,1123052,18531,3,0,206,0
2022-03-10,2022,3,10,1123067,7473,3,0,31,0
2022-03-10,2022,3,10,1123059,11969,3,0,68,0
2022-03-10,2022,3,10,1123079,16593,3,0,110,0
2022-03-10,2022,3,10,1123078,18939,3,0,125,0
2022-03-10,2022,3,10,1123077,20730,3,0,139,0
2022-03-10,2022,3,10,1123075,13450,3,0,53,0
2022-03-10,2022,3,10,1123074,3198,3,0,11,0
2022-03-10,2022,3,10,1123073,3423,3,0,5,0
2022-03-10,2022,3,10,1123072,7704,3,0,17,0
2022-03-10,2022,3,10,1123053,13010,3,0,65,0
2022-03-10,2022,3,10,1123080,5816,3,0,21,0
2022-03-11,2022,3,11,1123053,12894,4,0,47,0
2022-03-11,2022,3,11,1123080,5970,4,0,27,0
2022-03-11,2022,3,11,1123071,6298,4,0,3,0
2022-03-11,2022,3,11,1123065,16521,4,0,87,0
2022-03-11,2022,3,11,1123051,13054,4,0,72,0
2022-03-11,2022,3,11,1123076,16233,4,0,46,0
2022-03-11,2022,3,11,1123068,4359,4,0,3,0
2022-03-11,2022,3,11,1123066,12416,4,0,81,0
2022-03-11,2022,3,11,1123064,39827,4,0,470,0
2022-03-11,2022,3,11,1123063,11775,4,0,116,0
2022-03-11,2022,3,11,1123060,12352,4,0,112,0
2022-03-11,2022,3,11,1123058,21808,4,0,137,0
2022-03-11,2022,3,11,1123052,19176,4,0,263,0
2022-03-11,2022,3,11,1123067,7420,4,0,43,0
2022-03-11,2022,3,11,1123059,12157,4,0,67,0
2022-03-11,2022,3,11,1123079,16885,4,0,142,0
2022-03-11,2022,3,11,1123078,19733,4,0,140,0
2022-03-11,2022,3,11,1123077,21986,4,0,224,0
2022-03-11,2022,3,11,1123075,13944,4,0,60,0
2022-03-11,2022,3,11,1123074,3338,4,0,7,0
2022-03-11,2022,3,11,1123073,3534,4,0,4,0
2022-03-11,2022,3,11,1123072,7952,4,0,27,0
2022-03-12,2022,3,12,1123053,7201,5,0,47,1
2022-03-12,2022,3,12,1123080,3841,5,0,13,1
2022-03-12,2022,3,12,1123071,3743,5,0,4,1
2022-03-12,2022,3,12,1123065,9146,5,0,40,1
2022-03-12,2022,3,12,1123051,10533,5,0,64,1
2022-03-12,2022,3,12,1123076,9430,5,0,22,1
2022-03-12,2022,3,12,1123068,2539,5,0,2,1
2022-03-12,2022,3,12,1123066,6916,5,0,42,1
2022-03-12,2022,3,12,1123064,25828,5,0,304,1
