"동별(1)",동별(2),동별(3),2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",광진구,중곡3동,8499,16301,8058,8243,16071,7972,8099,230,86,144
"합계",광진구,중곡4동,13185,28806,14048,14758,28442,13916,14526,364,132,232
"합계",광진구,능동,6437,11602,5342,6260,11285,5199,6086,317,143,174
"합계",광진구,구의1동,12778,23481,11168,12313,22899,10900,11999,582,268,314
"합계",광진구,구의2동,11602,26891,12943,13948,26423,12746,13677,468,197,271
"합계",광진구,구의3동,12174,28756,13585,15171,28523,13487,15036,233,98,135
"합계",광진구,광장동,11907,34719,16796,17923,34545,16721,17824,174,75,99
"합계",광진구,자양1동,11946,23019,11111,11908,22183,10762,11421,836,349,487
"합계",광진구,자양2동,11042,24768,11980,12788,24469,11843,12626,299,137,162
"합계",광진구,자양3동,11102,28172,13453,14719,27909,13345,14564,263,108,155
"합계",광진구,자양4동,10088,21276,10484,10792,18007,8981,9026,3269,1503,1766
"합계",동대문구,소계,169695,352592,172318,180274,337982,166823,171159,14610,5495,9115
"합계",동대문구,회기동,6677,12924,5938,6986,10581,5074,5507,2343,864,1479
"합계",동대문구,휘경1동,7769,16110,7349,8761,14009,6641,7368,2101,708,1393
"합계",동대문구,휘경2동,12231,24857,12330,12527,24150,12071,12079,707,259,448
"합계",동대문구,청량리동,9688,19216,9540,9676,18761,9336,9425,455,204,251
"합계",동대문구,용신동,19469,33984,16850,17134,32540,16291,16249,1444,559,885
"합계",동대문구,제기동,13565,26598,13339,13259,24650,12636,12014,1948,703,1245
"합계",동대문구,전농1동,14885,29553,14753,14800,29059,14569,14490,494,184,310
"합계",동대문구,전농2동,7635,18747,8985,9762,18437,8861,9576,310,124,186
"합계",동대문구,답십리2동,12621,28376,13803,14573,28123,13681,14442,253,122,131
"합계",동대문구,장안1동,18443,38712,19103,19609,38158,18880,19278,554,223,331
"합계",동대문구,장안2동,14109,32761,16289,16472,32461,16172,16289,300,117,183
"합계",동대문구,이문1동,10684,21054,10123,10931,18156,9056,9100,2898,1067,1831
"합계",동대문구,이문2동,8780,20364,9809,10555,19941,9614,10327,423,195,228
"합계",동대문구,답십리1동,13139,29336,14107,15229,28956,13941,15015,380,166,214
"합계",중랑구,소계,187693,393600,193623,199977,389043,191835,197208,4557,1788,2769
"합계",중랑구,면목2동,12274,24449,12161,12288,24095,12029,12066,354,132,222
"합계",중랑구,면목4동,9134,19215,9534,9681,18938,9422,9516,277,112,165
