"동별(1)",동별(2),동별(3),2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03,2022. 03
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",동작구,사당1동,13562,23268,11106,12162,22795,10886,11909,473,220,253
"합계",동작구,사당3동,10513,24532,11903,12629,24327,11809,12518,205,94,111
"합계",동작구,사당4동,7214,14350,6861,7489,14174,6770,7404,176,91,85
"합계",동작구,사당5동,6636,14543,6967,7576,14450,6929,7521,93,38,55
"합계",동작구,대방동,17252,38151,18090,20061,37812,17915,19897,339,175,164
"합계",동작구,신대방1동,10234,24838,11983,12855,23035,11047,11988,1803,936,867
"합계",동작구,신대방2동,10465,22223,10599,11624,21996,10508,11488,227,91,136
"합계",동작구,흑석동,14060,32996,15812,17184,31317,15232,16085,1679,580,1099
"합계",동작구,노량진1동,16238,32215,16142,16073,31884,16020,15864,331,122,209
"합계",동작구,사당2동,12405,28534,13695,14839,28162,13524,14638,372,171,201
"합계",관악구,소계,279353,500336,250450,249886,486375,244409,241966,13961,6041,7920
"합계",관악구,보라매동,13056,24927,12225,12702,24463,12023,12440,464,202,262
"합계",관악구,청림동,6452,15135,7329,7806,15039,7293,7746,96,36,60
"합계",관악구,행운동,17900,29569,14299,15270,29076,14127,14949,493,172,321
"합계",관악구,낙성대동,11493,17606,8792,8814,17035,8560,8475,571,232,339
"합계",관악구,중앙동,10018,15681,7499,8182,15301,7351,7950,380,148,232
"합계",관악구,인헌동,14637,26237,12717,13520,25874,12576,13298,363,141,222
"합계",관악구,남현동,9748,18259,8793,9466,18062,8713,9349,197,80,117
"합계",관악구,서원동,14553,23435,12095,11340,22752,11801,10951,683,294,389
"합계",관악구,신원동,11165,18752,9450,9302,17935,9085,8850,817,365,452
"합계",관악구,서림동,14449,23849,13056,10793,23114,12777,10337,735,279,456
"합계",관악구,신사동,14161,24955,12468,12487,22705,11392,11313,2250,1076,1174
"합계",관악구,신림동,18375,23515,12360,11155,22706,12025,10681,809,335,474
"합계",관악구,난향동,6292,15332,7495,7837,15218,7437,7781,114,58,56
"합계",관악구,조원동,10940,18874,9508,9366,17482,8794,8688,1392,714,678
"합계",관악구,대학동,16249,25186,14855,10331,23423,14145,9278,1763,710,1053
"합계",관악구,은천동,16099,33540,16357,17183,33065,16155,16910,475,202,273
"합계",관악구,성현동,12299,29161,14053,15108,28974,13976,14998,187,77,110
"합계",관악구,청룡동,23676,36789,17647,19142,35732,17240,18492,1057,407,650
"합계",관악구,난곡동,13158,27104,13576,13528,26648,13377,13271,456,199,257
"합계",관악구,삼성동,10189,21393,10673,10720,21263,10624,10639,130,49,81
"합계",관악구,미성동,14444,31037,15203,15834,30508,14938,15570,529,265,264
"합계",서초구,소계,169895,413677,197665,216012,409823,195806,214017,3854,1859,1995
"합계",서초구,서초1동,9461,20815,10013,10802,20620,9924,10696,195,89,106
"합계",서초구,서초2동,11591,26878,12849,14029,26522,12669,13853,356,180,176
"합계",서초구,서초3동,15325,32700,15641,17059,32393,15511,16882,307,130,177
"합계",서초구,서초4동,10867,30936,15099,15837,30678,14969,15709,258,130,128
"합계",서초구,잠원동,10767,26853,12905,13948,26675,12829,13846,178,76,102
"합계",서초구,반포본동,334,696,330,366,670,315,355,26,15,11
"합계",서초구,반포1동,15086,34894,16929,17965,34535,16768,17767,359,161,198
"합계",서초구,반포2동,5009,15858,7543,8315,15768,7503,8265,90,40,50
"합계",서초구,반포3동,7693,22155,10535,11620,22102,10510,11592,53,25,28
"합계",서초구,반포4동,7197,19791,9337,10454,19144,8973,10171,647,364,283
"합계",서초구,방배본동,7994,20995,9704,11291,20815,9606,11209,180,98,82
"합계",서초구,방배1동,7513,16944,7941,9003,16810,7880,8930,134,61,73
"합계",서초구,방배2동,8214,18992,8906,10086,18873,8849,10024,119,57,62
"합계",서초구,방배3동,7081,18802,9087,9715,18727,9048,9679,75,39,36
"합계",서초구,방배4동,9728,23700,10784,12916,23410,10659,12751,290,125,165
"합계",서초구,양재1동,17907,43152,20619,22533,42838,20468,22370,314,151,163
"합계",서초구,양재2동,10891,22037,10995,11042,21825,10902,10923,212,93,119
"합계",서초구,내곡동,7237,17479,8448,9031,17418,8423,8995,61,25,36
"합계",강남구,소계,234612,537338,257096,280242,532577,254866,277711,4761,2230,2531
"합계",강남구,신사동,7010,16116,7479,8637,15895,7362,8533,221,117,104
"합계",강남구,논현1동,13995,22583,10604,11979,21973,10346,11627,610,258,352
"합계",강남구,논현2동,11413,21300,9946,11354,20971,9804,11167,329,142,187
"합계",강남구,삼성1동,5489,13059,6467,6592,12808,6299,6509,251,168,83
"합계",강남구,삼성2동,13739,31130,14934,16196,30877,14787,16090,253,147,106
"합계",강남구,대치1동,7256,24031,12059,11972,23999,12040,11959,32,19,13
"합계",강남구,대치4동,10163,19914,9409,10505,19639,9305,10334,275,104,171
"합계",강남구,역삼1동,24237,36431,17668,18763,35404,17249,18155,1027,419,608
"합계",강남구,역삼2동,15540,36288,17020,19268,35979,16869,19110,309,151,158
"합계",강남구,도곡1동,8539,21566,10219,11347,21425,10150,11275,141,69,72
"합계",강남구,도곡2동,11648,33140,15425,17715,33057,15374,17683,83,51,32
"합계",강남구,개포1동,2716,6982,3388,3594,6962,3380,3582,20,8,12
"합계",강남구,개포4동,10037,23790,11498,12292,23641,11437,12204,149,61,88
"합계",강남구,일원본동,8055,23172,11455,11717,23144,11442,11702,28,13,15
"합계",강남구,일원1동,7466,15180,7395,7785,15044,7348,7696,136,47,89
"합계",강남구,일원2동,7487,17563,8488,9075,17504,8465,9039,59,23,36
"합계",강남구,수서동,7770,14726,6662,8064,14659,6638,8021,67,24,43
"합계",강남구,세곡동,17928,43213,20356,22857,43041,20283,22758,172,73,99
"합계",강남구,압구정동,10234,26315,12204,14111,26168,12119,14049,147,85,62
"합계",강남구,청담동,11203,25723,12032,13691,25497,11907,13590,226,125,101
"합계",강남구,대치2동,12908,36876,18679,18197,36726,18588,18138,150,91,59
"합계",강남구,개포2동,9779,28240,13709,14531,28164,13674,14490,76,35,41
"합계",송파구,소계,285106,668261,321963,346298,662607,319407,343200,5654,2556,3098
"합계",송파구,풍납1동,5963,13298,6522,6776,12747,6255,6492,551,267,284
"합계",송파구,풍납2동,10990,24856,11792,13064,24683,11709,12974,173,83,90
"합계",송파구,거여1동,5643,12454,6260,6194,12381,6239,6142,73,21,52
"합계",송파구,거여2동,9658,22819,11211,11608,22729,11174,11555,90,37,53
"합계",송파구,마천1동,8811,18909,9649,9260,18758,9594,9164,151,55,96
"합계",송파구,마천2동,8692,18597,9476,9121,18445,9410,9035,152,66,86
"합계",송파구,방이1동,6234,15662,7564,8098,15574,7526,8048,88,38,50
"합계",송파구,방이2동,15268,26971,12506,14465,26430,12254,14176,541,252,289
"합계",송파구,오륜동,5922,17944,8755,9189,17926,8746,9180,18,9,9
"합계",송파구,오금동,15652,38366,18613,19753,38146,18500,19646,220,113,107
"합계",송파구,송파1동,12309,24135,11285,12850,23806,11126,12680,329,159,170
"합계",송파구,송파2동,7241,19279,9290,9989,19125,9214,9911,154,76,78
"합계",송파구,석촌동,16924,32025,15239,16786,31449,14982,16467,576,257,319
"합계",송파구,삼전동,16086,30441,14232,16209,30077,14094,15983,364,138,226
"합계",송파구,가락본동,11837,26317,13039,13278,26039,12916,13123,278,123,155
"합계",송파구,가락1동,9865,27548,13356,14192,27430,13303,14127,118,53,65
"합계",송파구,가락2동,12359,31946,15634,16312,31770,15552,16218,176,82,94
"합계",송파구,문정1동,8523,20125,9955,10170,19938,9879,10059,187,76,111
"합계",송파구,문정2동,15749,29061,13293,15768,28855,13211,15644,206,82,124
"합계",송파구,잠실본동,15535,28386,13504,14882,27894,13291,14603,492,213,279
"합계",송파구,잠실4동,7277,21362,10269,11093,21296,10233,11063,66,36,30
"합계",송파구,잠실6동,5887,16870,8004,8866,16747,7933,8814,123,71,52
"합계",송파구,잠실7동,3383,9536,4444,5092,9521,4436,5085,15,8,7
"합계",송파구,잠실2동,11601,34989,16724,18265,34879,16658,18221,110,66,44
"합계",송파구,잠실3동,11894,34347,16379,17968,34217,16309,17908,130,70,60
"합계",송파구,장지동,12129,29471,14225,15246,29316,14155,15161,155,70,85
"합계",송파구,위례동,13674,42547,20743,21804,42429,20708,21721,118,35,83
"합계",강동구,소계,201926,465097,227891,237206,461300,226203,235097,3797,1688,2109
"합계",강동구,강일동,12889,32947,15789,17158,32762,15733,17029,185,56,129
"합계",강동구,명일1동,10113,25884,12593,13291,25795,12559,13236,89,34,55
"합계",강동구,명일2동,6522,17520,8573,8947,17473,8555,8918,47,18,29
"합계",강동구,고덕1동,8215,24074,12268,11806,23958,12187,11771,116,81,35
"합계",강동구,고덕2동,8854,22545,11380,11165,22383,11277,11106,162,103,59
"합계",강동구,암사2동,6373,15201,7351,7850,15145,7332,7813,56,19,37
"합계",강동구,암사3동,6263,17838,8746,9092,17793,8724,9069,45,22,23
"합계",강동구,천호1동,12953,26920,13185,13735,26692,13104,13588,228,81,147
"합계",강동구,천호3동,14390,26845,13044,13801,26410,12832,13578,435,212,223
"합계",강동구,성내1동,8397,20068,9652,10416,19942,9602,10340,126,50,76
"합계",강동구,성내2동,12830,23973,11802,12171,23403,11516,11887,570,286,284
"합계",강동구,성내3동,10712,23235,11359,11876,22975,11252,11723,260,107,153
"합계",강동구,둔촌1동,81,143,79,64,132,74,58,11,5,6
"합계",강동구,둔촌2동,10455,24641,12123,12518,24529,12074,12455,112,49,63
"합계",강동구,암사1동,15958,34643,17157,17486,34352,17035,17317,291,122,169
"합계",강동구,천호2동,17499,33671,16467,17204,33070,16193,16877,601,274,327
"합계",강동구,길동,21917,45863,22374,23489,45554,22269,23285,309,105,204
"합계",강동구,상일1동,13477,38832,19137,19695,38713,19082,19631,119,55,64
"합계",강동구,상일2동,4028,10254,4812,5442,10219,4803,5416,35,9,26
