busdate,yy,mm,dd,dong_id,guest_cnt,ww,hh,g_cnt,wd,gu_id
2022-03-04,2022,3,4,1124077,14399,4,0,109,0,11240
2022-03-04,2022,3,4,1124069,8684,4,0,82,0,11240
2022-03-04,2022,3,4,1124063,12134,4,0,53,0,11240
2022-03-04,2022,3,4,1124059,4883,4,0,20,0,11240
2022-03-04,2022,3,4,1124055,3420,4,0,3,0,11240
2022-03-04,2022,3,4,1124051,3485,4,0,1,0,11240
2022-03-04,2022,3,4,1124068,4347,4,0,18,0,11240
2022-03-04,2022,3,4,1124080,16535,4,0,118,0,11240
2022-03-04,2022,3,4,1124079,3777,4,0,16,0,11240
2022-03-04,2022,3,4,1124078,4318,4,0,39,0,11240
2022-03-04,2022,3,4,1124075,1874,4,0,5,0,11240
2022-03-04,2022,3,4,1124071,10024,4,0,46,0,11240
2022-03-04,2022,3,4,1124067,6247,4,0,20,0,11240
2022-03-04,2022,3,4,1124066,7732,4,0,62,0,11240
2022-03-04,2022,3,4,1124062,2143,4,0,7,0,11240
2022-03-04,2022,3,4,1124061,8378,4,0,39,0,11240
2022-03-04,2022,3,4,1124060,10352,4,0,12,0,11240
2022-03-04,2022,3,4,1124058,6529,4,0,30,0,11240
2022-03-04,2022,3,4,1124057,3332,4,0,11,0,11240
2022-03-04,2022,3,4,1124056,6357,4,0,14,0,11240
2022-03-04,2022,3,4,1124054,2866,4,0,8,0,11240
2022-03-04,2022,3,4,1124052,7015,4,0,4,0,11240
2022-03-05,2022,3,5,1124053,1797,5,0,9,1,11240
2022-03-05,2022,3,5,1124077,11431,5,0,74,1,11240
2022-03-05,2022,3,5,1124069,5316,5,0,74,1,11240
2022-03-05,2022,3,5,1124063,8068,5,0,73,1,11240
2022-03-05,2022,3,5,1124059,3304,5,0,24,1,11240
2022-03-05,2022,3,5,1124055,2538,5,0,4,1,11240
2022-03-05,2022,3,5,1124051,2321,5,0,1,1,11240
2022-03-05,2022,3,5,1124068,2578,5,0,14,1,11240
2022-03-05,2022,3,5,1124080,12603,5,0,98,1,11240
2022-03-05,2022,3,5,1124079,2658,5,0,27,1,11240
2022-03-05,2022,3,5,1124078,2448,5,0,25,1,11240
2022-03-05,2022,3,5,1124075,1269,5,0,2,1,11240
2022-03-05,2022,3,5,1124071,7685,5,0,51,1,11240
2022-03-05,2022,3,5,1124067,4648,5,0,21,1,11240
2022-03-05,2022,3,5,1124066,5365,5,0,61,1,11240
2022-03-05,2022,3,5,1124062,1268,5,0,8,1,11240
2022-03-05,2022,3,5,1124061,6412,5,0,47,1,11240
2022-03-05,2022,3,5,1124060,7362,5,0,14,1,11240
2022-03-05,2022,3,5,1124058,5039,5,0,41,1,11240
2022-03-05,2022,3,5,1124057,2550,5,0,6,1,11240
2022-03-05,2022,3,5,1124056,4730,5,0,12,1,11240
2022-03-05,2022,3,5,1124054,1973,5,0,13,1,11240
2022-03-05,2022,3,5,1124052,3971,5,0,4,1,11240
2022-03-05,2022,3,5,1124082,7312,5,0,25,1,11240
2022-03-05,2022,3,5,1124081,6899,5,0,22,1,11240
2022-03-05,2022,3,5,1124065,6015,5,0,56,1,11240
2022-03-05,2022,3,5,1124064,5288,5,0,15,1,11240
2022-03-06,2022,3,6,1124068,1884,6,0,11,1,11240
2022-03-06,2022,3,6,1124080,9452,6,0,46,1,11240
2022-03-06,2022,3,6,1124079,1777,6,0,10,1,11240
2022-03-06,2022,3,6,1124078,1860,6,0,16,1,11240
2022-03-06,2022,3,6,1124075,847,6,0,0,1,11240
2022-03-06,2022,3,6,1124071,5361,6,0,40,1,11240
2022-03-06,2022,3,6,1124067,3241,6,0,13,1,11240
2022-03-06,2022,3,6,1124066,3518,6,0,37,1,11240
2022-03-06,2022,3,6,1124062,849,6,0,8,1,11240
2022-03-06,2022,3,6,1124061,4617,6,0,20,1,11240
2022-03-06,2022,3,6,1124060,5247,6,0,7,1,11240
2022-03-06,2022,3,6,1124058,3552,6,0,32,1,11240
2022-03-06,2022,3,6,1124057,1720,6,0,2,1,11240
2022-03-06,2022,3,6,1124056,3400,6,0,3,1,11240
2022-03-06,2022,3,6,1124054,1286,6,0,9,1,11240
2022-03-06,2022,3,6,1124052,2929,6,0,1,1,11240
2022-03-06,2022,3,6,1124082,5131,6,0,19,1,11240
2022-03-06,2022,3,6,1124081,5087,6,0,13,1,11240
2022-03-06,2022,3,6,1124065,3776,6,0,31,1,11240
2022-03-06,2022,3,6,1124064,3694,6,0,15,1,11240
2022-03-06,2022,3,6,1124053,1213,6,0,7,1,11240
2022-03-06,2022,3,6,1124077,8819,6,0,69,1,11240
2022-03-06,2022,3,6,1124069,3819,6,0,56,1,11240
2022-03-06,2022,3,6,1124063,5843,6,0,35,1,11240
2022-03-06,2022,3,6,1124059,2609,6,0,20,1,11240
2022-03-06,2022,3,6,1124055,1940,6,0,0,1,11240
2022-03-06,2022,3,6,1124051,1670,6,0,0,1,11240
2022-03-07,2022,3,7,1124053,2640,0,0,11,0,11240
2022-03-07,2022,3,7,1124077,13621,0,0,96,0,11240
2022-03-07,2022,3,7,1124069,8475,0,0,79,0,11240
2022-03-07,2022,3,7,1124063,11526,0,0,60,0,11240
2022-03-07,2022,3,7,1124059,4797,0,0,27,0,11240
2022-03-07,2022,3,7,1124055,3223,0,0,7,0,11240
2022-03-07,2022,3,7,1124051,3438,0,0,0,0,11240
2022-03-07,2022,3,7,1124068,4380,0,0,22,0,11240
2022-03-07,2022,3,7,1124080,15089,0,0,120,0,11240
2022-03-07,2022,3,7,1124079,3604,0,0,28,0,11240
2022-03-07,2022,3,7,1124078,4355,0,0,28,0,11240
2022-03-07,2022,3,7,1124075,1793,0,0,3,0,11240
2022-03-07,2022,3,7,1124071,9293,0,0,51,0,11240
2022-03-07,2022,3,7,1124067,5991,0,0,25,0,11240
2022-03-07,2022,3,7,1124066,7543,0,0,74,0,11240
2022-03-07,2022,3,7,1124062,2081,0,0,8,0,11240
2022-03-07,2022,3,7,1124061,7888,0,0,50,0,11240
2022-03-07,2022,3,7,1124060,9799,0,0,16,0,11240
2022-03-07,2022,3,7,1124058,6286,0,0,37,0,11240
2022-03-07,2022,3,7,1124057,3086,0,0,4,0,11240
2022-03-07,2022,3,7,1124056,6054,0,0,9,0,11240
2022-03-07,2022,3,7,1124054,2914,0,0,10,0,11240
2022-03-07,2022,3,7,1124052,6734,0,0,4,0,11240
2022-03-07,2022,3,7,1124082,11517,0,0,40,0,11240
2022-03-07,2022,3,7,1124081,9846,0,0,23,0,11240
2022-03-07,2022,3,7,1124065,8780,0,0,50,0,11240
2022-03-07,2022,3,7,1124064,7148,0,0,38,0,11240
2022-03-08,2022,3,8,1124053,2700,1,0,23,0,11240
2022-03-08,2022,3,8,1124077,14080,1,0,149,0,11240
2022-03-08,2022,3,8,1124069,8739,1,0,106,0,11240
2022-03-08,2022,3,8,1124063,11822,1,0,104,0,11240
2022-03-08,2022,3,8,1124059,4919,1,0,31,0,11240
2022-03-08,2022,3,8,1124055,3329,1,0,3,0,11240
2022-03-08,2022,3,8,1124051,3485,1,0,0,0,11240
2022-03-08,2022,3,8,1124068,4376,1,0,30,0,11240
2022-03-08,2022,3,8,1124080,16115,1,0,216,0,11240
2022-03-08,2022,3,8,1124079,3780,1,0,33,0,11240
2022-03-08,2022,3,8,1124078,4290,1,0,50,0,11240
2022-03-08,2022,3,8,1124075,1745,1,0,5,0,11240
2022-03-08,2022,3,8,1124071,9762,1,0,111,0,11240
2022-03-08,2022,3,8,1124067,6133,1,0,35,0,11240
2022-03-08,2022,3,8,1124066,7636,1,0,96,0,11240
2022-03-08,2022,3,8,1124062,2099,1,0,14,0,11240
2022-03-08,2022,3,8,1124061,8085,1,0,64,0,11240
2022-03-08,2022,3,8,1124060,9819,1,0,25,0,11240
2022-03-08,2022,3,8,1124058,6370,1,0,55,0,11240
2022-03-08,2022,3,8,1124057,3115,1,0,6,0,11240
2022-03-08,2022,3,8,1124056,6004,1,0,21,0,11240
2022-03-08,2022,3,8,1124054,2938,1,0,6,0,11240
2022-03-08,2022,3,8,1124052,6718,1,0,1,0,11240
2022-03-08,2022,3,8,1124082,11939,1,0,92,0,11240
2022-03-08,2022,3,8,1124081,10164,1,0,43,0,11240
2022-03-08,2022,3,8,1124065,8982,1,0,92,0,11240
2022-03-08,2022,3,8,1124064,7188,1,0,72,0,11240
2022-03-09,2022,3,9,1124082,6173,2,0,14,1,11240
2022-03-09,2022,3,9,1124081,5962,2,0,10,1,11240
2022-03-09,2022,3,9,1124065,5111,2,0,35,1,11240
2022-03-09,2022,3,9,1124064,4569,2,0,31,1,11240
2022-03-09,2022,3,9,1124053,1563,2,0,3,1,11240
2022-03-09,2022,3,9,1124077,10188,2,0,67,1,11240
2022-03-09,2022,3,9,1124069,4782,2,0,74,1,11240
2022-03-09,2022,3,9,1124063,7269,2,0,68,1,11240
2022-03-09,2022,3,9,1124059,2913,2,0,20,1,11240
2022-03-09,2022,3,9,1124055,2220,2,0,0,1,11240
2022-03-09,2022,3,9,1124051,1973,2,0,2,1,11240
2022-03-09,2022,3,9,1124068,2330,2,0,19,1,11240
2022-03-09,2022,3,9,1124080,11055,2,0,97,1,11240
2022-03-09,2022,3,9,1124079,2157,2,0,6,1,11240
2022-03-09,2022,3,9,1124078,2174,2,0,35,1,11240
2022-03-09,2022,3,9,1124075,1073,2,0,1,1,11240
2022-03-09,2022,3,9,1124071,6550,2,0,54,1,11240
2022-03-09,2022,3,9,1124067,3755,2,0,12,1,11240
2022-03-09,2022,3,9,1124066,4759,2,0,61,1,11240
2022-03-09,2022,3,9,1124062,974,2,0,8,1,11240
2022-03-09,2022,3,9,1124061,5514,2,0,27,1,11240
2022-03-09,2022,3,9,1124060,5831,2,0,10,1,11240
2022-03-09,2022,3,9,1124058,4221,2,0,40,1,11240
2022-03-09,2022,3,9,1124057,1877,2,0,4,1,11240
2022-03-09,2022,3,9,1124056,4076,2,0,8,1,11240
2022-03-09,2022,3,9,1124054,1695,2,0,6,1,11240
2022-03-09,2022,3,9,1124052,3491,2,0,1,1,11240
2022-03-10,2022,3,10,1124053,2706,3,0,10,0,11240
2022-03-10,2022,3,10,1124077,13847,3,0,135,0,11240
2022-03-10,2022,3,10,1124069,8446,3,0,87,0,11240
2022-03-10,2022,3,10,1124063,11425,3,0,63,0,11240
2022-03-10,2022,3,10,1124059,4897,3,0,33,0,11240
2022-03-10,2022,3,10,1124055,3193,3,0,3,0,11240
2022-03-10,2022,3,10,1124051,3371,3,0,6,0,11240
2022-03-10,2022,3,10,1124068,4244,3,0,18,0,11240
2022-03-10,2022,3,10,1124080,15936,3,0,180,0,11240
2022-03-10,2022,3,10,1124079,4596,3,0,28,0,11240
2022-03-10,2022,3,10,1124078,4690,3,0,31,0,11240
2022-03-10,2022,3,10,1124075,1828,3,0,3,0,11240
2022-03-10,2022,3,10,1124071,9686,3,0,78,0,11240
2022-03-10,2022,3,10,1124067,5886,3,0,35,0,11240
2022-03-10,2022,3,10,1124066,7584,3,0,87,0,11240
2022-03-10,2022,3,10,1124062,2079,3,0,7,0,11240
2022-03-10,2022,3,10,1124061,8064,3,0,62,0,11240
2022-03-10,2022,3,10,1124060,9743,3,0,15,0,11240
