dong_id,guest_cnt
1102052,688691.0
1102054,705555.0
1102055,496049.0
1102057,85316.0
1102058,83509.0
1102059,302658.0
1102060,97719.0
1102065,148232.0
1102067,91718.0
1102068,113756.0
1102069,103522.0
1102070,91442.0
1102071,95610.0
1102072,62812.0
1102073,31236.0
